ts,open,high,low,close,volume
2024-09-15 00:00:00+00:00,137.11,137.83,130.49,131.52,9625.50153374
2024-09-16 00:00:00+00:00,131.4,132.36,129.0,131.8,9196.55179544
2024-09-17 00:00:00+00:00,131.42,135.46,130.36,131.57,14680.54714404
2024-09-18 00:00:00+00:00,131.47,134.48,127.13,134.48,28443.31856867
2024-09-19 00:00:00+00:00,134.49,143.87,134.25,142.55,28545.35949807
2024-09-20 00:00:00+00:00,142.8,152.32,141.19,146.46,27024.30214871
2024-09-21 00:00:00+00:00,146.61,149.87,144.74,149.52,8574.93484369
2024-09-22 00:00:00+00:00,149.67,149.8,141.16,144.63,8486.0496381
2024-09-23 00:00:00+00:00,144.67,148.91,129.0,144.82,25814.47627967
2024-09-24 00:00:00+00:00,144.78,153.83,143.34,152.89,22534.71666957
2024-09-25 00:00:00+00:00,152.78,153.76,147.41,147.98,13028.97115537
2024-09-26 00:00:00+00:00,148.09,157.98,139.0,155.38,30946.68324147
2024-09-27 00:00:00+00:00,155.36,161.07,154.08,157.71,24234.93149514
2024-09-28 00:00:00+00:00,157.84,159.15,155.14,156.9,6842.09112843
2024-09-29 00:00:00+00:00,156.83,161.67,155.14,158.7,7361.73780737
2024-09-30 00:00:00+00:00,158.59,159.63,151.76,152.69,51006.70026644
2024-10-01 00:00:00+00:00,152.55,157.32,142.38,145.32,22400.22188012
2024-10-02 00:00:00+00:00,145.0,148.82,138.75,140.24,14513.78754818
2024-10-03 00:00:00+00:00,140.16,142.83,133.23,136.88,12392.02985582
2024-10-04 00:00:00+00:00,136.81,144.53,136.11,143.16,7435.73565375
2024-10-05 00:00:00+00:00,143.31,144.9,141.17,142.69,3606.20162896
2024-10-06 00:00:00+00:00,142.66,150.0,142.1,146.33,12740.94226673
2024-10-07 00:00:00+00:00,146.49,152.17,143.6,144.0,15709.35140092
2024-10-08 00:00:00+00:00,144.02,145.44,141.32,143.52,6095.84794755
2024-10-09 00:00:00+00:00,143.57,145.22,138.63,139.4,7619.15469738
2024-10-10 00:00:00+00:00,139.3,140.73,135.69,138.97,8838.94941583
2024-10-11 00:00:00+00:00,138.97,146.45,138.74,145.29,15861.53012972
2024-10-12 00:00:00+00:00,145.5,147.28,144.76,146.5,6637.47267697
2024-10-13 00:00:00+00:00,146.41,148.8,144.43,147.58,14320.43189956
2024-10-14 00:00:00+00:00,147.81,157.99,147.22,157.46,18581.88631809
2024-10-15 00:00:00+00:00,157.6,159.42,150.32,154.72,11884.02490459
2024-10-16 00:00:00+00:00,154.78,158.19,153.12,154.31,10375.55585044
2024-10-17 00:00:00+00:00,154.32,155.6,147.81,150.37,10213.08164531
2024-10-18 00:00:00+00:00,150.33,156.49,149.73,154.98,22093.3691
2024-10-19 00:00:00+00:00,154.91,159.72,153.79,159.5,6388.30173438
2024-10-20 00:00:00+00:00,159.74,167.87,157.33,167.32,20551.70325251
2024-10-21 00:00:00+00:00,167.51,171.56,161.5,166.35,17990.14947284
2024-10-22 00:00:00+00:00,166.51,170.89,163.2,167.38,10626.70570074
2024-10-23 00:00:00+00:00,167.65,174.24,163.0,170.93,25494.01432602
2024-10-24 00:00:00+00:00,170.99,179.09,170.63,177.38,19319.90315945
2024-10-25 00:00:00+00:00,177.23,177.51,159.43,164.93,25717.98812022
