ts,open,high,low,close,volume
2026-05-08 00:00:00+00:00,88.47,88.65,87.65,88.26,1267.61326057
2026-05-08 04:00:00+00:00,88.27,88.41,87.68,88.2,1118.19060527
2026-05-08 08:00:00+00:00,88.22,88.8,88.02,88.66,3751.68725263
2026-05-08 12:00:00+00:00,88.65,89.58,88.09,89.58,1647.08129578
2026-05-08 16:00:00+00:00,89.6,92.79,89.36,92.57,6042.62366533
2026-05-08 20:00:00+00:00,92.63,92.67,91.77,91.99,4142.76945798
2026-05-09 00:00:00+00:00,92.05,93.83,91.88,93.69,6595.36616762
2026-05-09 04:00:00+00:00,93.67,94.15,92.86,93.75,3113.12233244
2026-05-09 08:00:00+00:00,93.81,93.92,93.13,93.62,3440.0740283
2026-05-09 12:00:00+00:00,93.64,93.69,92.44,92.96,1618.70857671
2026-05-09 16:00:00+00:00,92.94,93.61,92.72,93.57,2312.55270268
2026-05-09 20:00:00+00:00,93.57,93.57,93.07,93.16,1597.33729578
2026-05-10 00:00:00+00:00,93.12,93.46,92.62,93.44,1668.61230438
2026-05-10 04:00:00+00:00,93.43,93.59,93.26,93.46,420.81978483
2026-05-10 08:00:00+00:00,93.46,94.79,92.98,93.54,4052.43583395
2026-05-10 12:00:00+00:00,93.55,94.69,93.29,94.53,1219.21409883
2026-05-10 16:00:00+00:00,94.53,96.86,94.24,96.47,6494.54277118
2026-05-10 20:00:00+00:00,96.53,96.82,93.5,96.4,5112.7797155
2026-05-11 00:00:00+00:00,96.45,96.62,94.54,94.83,5436.17780452
2026-05-11 04:00:00+00:00,94.78,96.13,94.47,95.34,1432.74836693
2026-05-11 08:00:00+00:00,95.35,95.55,94.6,95.23,2194.90002135
2026-05-11 12:00:00+00:00,95.28,96.79,94.4,96.79,4631.39326444
2026-05-11 16:00:00+00:00,96.73,98.36,96.53,98.25,5428.64803117
2026-05-11 20:00:00+00:00,98.18,98.38,97.14,97.38,1757.25797442
2026-05-12 00:00:00+00:00,97.34,97.64,95.58,96.12,4710.02606667
2026-05-12 04:00:00+00:00,96.12,97.01,95.91,96.01,1277.64235322
2026-05-12 08:00:00+00:00,96.06,96.06,94.67,94.88,3732.67160109
2026-05-12 12:00:00+00:00,94.96,95.53,93.63,93.89,4905.73363529
2026-05-12 16:00:00+00:00,93.77,94.95,93.66,94.88,7195.51110628
2026-05-12 20:00:00+00:00,94.9,94.96,94.26,94.3,942.70188486
2026-05-13 00:00:00+00:00,94.3,95.56,94.16,95.54,856.01165083
2026-05-13 04:00:00+00:00,95.6,95.95,94.94,95.17,1919.35635317
2026-05-13 08:00:00+00:00,95.18,95.88,94.28,94.3,1562.18281494
2026-05-13 12:00:00+00:00,94.34,94.6,90.31,90.47,15985.0272761
2026-05-13 16:00:00+00:00,90.46,91.38,90.41,90.94,6025.54867411
2026-05-13 20:00:00+00:00,90.98,91.32,90.74,91.11,776.53748124
2026-05-14 00:00:00+00:00,91.2,91.41,89.84,89.93,2910.90180029
2026-05-14 04:00:00+00:00,89.95,91.77,89.94,90.98,6325.18357312
2026-05-14 08:00:00+00:00,90.94,91.23,90.64,90.73,960.93175139
2026-05-14 12:00:00+00:00,90.63,93.22,90.63,93.2,3208.89928753
2026-05-14 16:00:00+00:00,93.23,93.68,92.34,92.92,7001.48581354
2026-05-14 20:00:00+00:00,92.9,92.9,92.17,92.17,1125.60642378
2026-05-15 00:00:00+00:00,92.16,92.62,91.47,92.08,3922.36346051
2026-05-15 04:00:00+00:00,92.07,92.07,90.37,91.7,2202.07296455
2026-05-15 08:00:00+00:00,91.61,91.65,90.97,91.25,2079.86369339
2026-05-15 12:00:00+00:00,91.18,91.18,88.56,89.08,5836.60218881
2026-05-15 16:00:00+00:00,89.04,90.0,88.83,89.41,1981.9348128
2026-05-15 20:00:00+00:00,89.48,89.48,88.98,89.24,3901.04766903
2026-05-16 00:00:00+00:00,89.24,89.41,88.98,89.06,527.21442588
2026-05-16 04:00:00+00:00,89.04,89.07,86.77,87.46,4706.36564814
2026-05-16 08:00:00+00:00,87.51,87.59,85.55,86.11,9469.44580002
2026-05-16 12:00:00+00:00,86.08,86.63,86.06,86.47,1534.28967124
2026-05-16 16:00:00+00:00,86.51,86.93,86.4,86.7,783.61955698
2026-05-16 20:00:00+00:00,86.75,86.88,86.49,86.59,333.4089636
2026-05-17 00:00:00+00:00,86.57,86.7,85.61,86.52,3260.1866557
