ts,open,high,low,close,volume
2018-09-17 09:00:00+00:00,50.0,50.0,50.0,50.0,100.0
2018-09-18 09:00:00+00:00,50.0,50.0,50.0,50.0,200.0
2018-09-19 09:00:00+00:00,50.0,50.0,50.0,50.0,6100.0
2018-09-20 09:00:00+00:00,50.0,50.0,50.0,50.0,300.0
2018-09-21 09:00:00+00:00,50.0,50.0,50.0,50.0,14000.0
2018-09-24 09:00:00+00:00,50.0,50.0,50.0,50.0,900.0
2018-09-25 09:00:00+00:00,50.0,50.0,50.0,50.0,8900.0
2018-09-26 09:00:00+00:00,50.0,50.0,50.0,50.0,14700.0
2018-09-27 09:00:00+00:00,50.0,50.0,50.0,50.0,3400.0
2018-09-28 09:00:00+00:00,50.0,50.0,50.0,50.0,6700.0
2018-10-01 09:00:00+00:00,50.0,50.0,50.0,50.0,29300.0
2018-10-02 09:00:00+00:00,50.0,50.0,50.0,50.0,25700.0
2018-10-03 09:00:00+00:00,50.0,50.0,50.0,50.0,37100.0
2018-10-04 09:00:00+00:00,50.0,50.0,50.0,50.0,1100.0
2018-10-05 09:00:00+00:00,50.0,50.0,50.0,50.0,1700.0
2018-10-08 09:00:00+00:00,50.0,50.0,50.0,50.0,100.0
2018-10-09 09:00:00+00:00,50.0,50.0,50.0,50.0,900.0
2018-10-10 09:00:00+00:00,50.0,50.0,50.0,50.0,40300.0
2018-10-11 09:00:00+00:00,50.0,50.0,50.0,50.0,800.0
2018-10-12 09:00:00+00:00,50.0,50.0,50.0,50.0,11700.0
2018-10-15 09:00:00+00:00,50.0,50.0,50.0,50.0,115200.0
2018-10-16 09:00:00+00:00,50.0,50.0,50.0,50.0,1000.0
2018-10-17 09:00:00+00:00,50.0,50.0,50.0,50.0,1500.0
2018-10-18 09:00:00+00:00,50.0,50.0,50.0,50.0,10300.0
2018-10-19 09:00:00+00:00,50.0,50.0,50.0,50.0,1600.0
2018-10-22 09:00:00+00:00,50.0,50.0,50.0,50.0,1000.0
2018-10-23 09:00:00+00:00,50.0,50.0,50.0,50.0,300.0
2018-10-24 09:00:00+00:00,50.0,50.0,50.0,50.0,5000.0
2018-10-25 09:00:00+00:00,50.0,50.0,50.0,50.0,4500.0
2018-10-26 09:00:00+00:00,50.0,50.0,50.0,50.0,1296500.0
2018-10-29 09:00:00+00:00,50.0,50.0,50.0,50.0,20200.0
2018-10-30 09:00:00+00:00,50.0,50.0,50.0,50.0,209000.0
2018-10-31 09:00:00+00:00,50.0,50.0,50.0,50.0,100900.0
2018-11-01 09:00:00+00:00,50.0,50.0,50.0,50.0,8200.0
2018-11-02 09:00:00+00:00,50.0,50.0,50.0,50.0,14300.0
2018-11-05 09:00:00+00:00,50.0,50.0,50.0,50.0,7000.0
2018-11-06 09:00:00+00:00,50.0,50.0,50.0,50.0,1600.0
2018-11-07 09:00:00+00:00,50.0,50.0,50.0,50.0,203000.0
2018-11-08 09:00:00+00:00,50.0,50.0,50.0,50.0,6300.0
2018-11-09 09:00:00+00:00,50.0,50.0,50.0,50.0,1900.0
2018-11-12 09:00:00+00:00,50.0,50.0,50.0,50.0,700.0
2018-11-13 09:00:00+00:00,50.0,50.0,50.0,50.0,500.0
2018-11-14 09:00:00+00:00,50.0,50.0,50.0,50.0,600.0
2018-11-15 09:00:00+00:00,50.0,50.0,50.0,50.0,2800.0
2018-11-16 09:00:00+00:00,50.0,50.0,50.0,50.0,2000.0
2018-11-19 09:00:00+00:00,50.0,50.0,50.0,50.0,1300.0
2018-11-20 09:00:00+00:00,50.0,50.0,50.0,50.0,0.0
2018-11-21 09:00:00+00:00,50.0,50.0,50.0,50.0,583200.0
2018-11-22 09:00:00+00:00,50.0,50.0,50.0,50.0,142300.0
2018-11-23 09:00:00+00:00,50.0,50.0,50.0,50.0,2200.0
2018-11-26 09:00:00+00:00,50.0,50.0,50.0,50.0,800.0
2018-11-27 09:00:00+00:00,50.0,50.0,50.0,50.0,2000.0
2018-11-28 09:00:00+00:00,50.0,50.0,50.0,50.0,4300.0
2018-11-29 09:00:00+00:00,50.0,50.0,50.0,50.0,13000.0
2018-11-30 09:00:00+00:00,50.0,50.0,50.0,50.0,1100.0
2018-12-03 09:00:00+00:00,50.0,50.0,50.0,50.0,25000.0
2018-12-04 09:00:00+00:00,50.0,50.0,50.0,50.0,5100.0
2018-12-05 09:00:00+00:00,50.0,50.0,50.0,50.0,79200.0
2018-12-06 09:00:00+00:00,50.0,50.0,50.0,50.0,1700.0
2018-12-07 09:00:00+00:00,50.0,50.0,50.0,50.0,10300.0
2018-12-10 09:00:00+00:00,50.0,50.0,50.0,50.0,2100.0
2018-12-11 09:00:00+00:00,50.0,50.0,50.0,50.0,800.0
2018-12-12 09:00:00+00:00,50.0,50.0,50.0,50.0,2600.0
2018-12-13 09:00:00+00:00,50.0,50.0,50.0,50.0,900.0
2018-12-14 09:00:00+00:00,50.0,50.0,50.0,50.0,700.0
2018-12-17 09:00:00+00:00,50.0,50.0,50.0,50.0,700.0
2018-12-18 09:00:00+00:00,50.0,50.0,50.0,50.0,600.0
2018-12-19 09:00:00+00:00,50.0,50.0,50.0,50.0,215300.0
2018-12-20 09:00:00+00:00,50.0,50.0,50.0,50.0,5900.0
2018-12-21 09:00:00+00:00,50.0,50.0,50.0,50.0,32200.0
2018-12-24 09:00:00+00:00,50.0,50.0,50.0,50.0,0.0
2018-12-25 09:00:00+00:00,50.0,50.0,50.0,50.0,0.0
2018-12-26 09:00:00+00:00,50.0,50.0,50.0,50.0,24000.0
2018-12-27 09:00:00+00:00,50.0,50.0,50.0,50.0,30400.0
2018-12-28 09:00:00+00:00,50.0,50.0,50.0,50.0,9600.0
2018-12-31 09:00:00+00:00,50.0,50.0,50.0,50.0,0.0
2019-01-01 09:00:00+00:00,50.0,50.0,50.0,50.0,0.0
2019-01-02 09:00:00+00:00,50.0,50.0,50.0,50.0,0.0
2019-01-03 09:00:00+00:00,50.0,50.0,50.0,50.0,100.0
2019-01-04 09:00:00+00:00,50.0,50.0,50.0,50.0,6700.0
2019-01-07 09:00:00+00:00,50.0,50.0,50.0,50.0,653700.0
2019-01-08 09:00:00+00:00,50.0,50.0,50.0,50.0,65400.0
2019-01-09 09:00:00+00:00,50.0,50.0,50.0,50.0,32100.0
2019-01-10 09:00:00+00:00,50.0,50.0,50.0,50.0,324600.0
2019-01-11 09:00:00+00:00,50.0,50.0,50.0,50.0,2242400.0
2019-01-14 09:00:00+00:00,50.0,50.0,50.0,50.0,500000.0
2019-01-15 09:00:00+00:00,50.0,50.0,50.0,50.0,273900.0
2019-01-16 09:00:00+00:00,50.0,50.0,50.0,50.0,1632000.0
2019-01-17 09:00:00+00:00,50.0,50.0,50.0,50.0,3967600.0
